|AR| BEIN SPORTS 3 4K	00`05alive00`05b6815.m3u8
|AR| BEIN SPORTS 3 BG	00`05alive00`05b402506.m3u8
|AR| BEIN SPORTS 4 4K	00`05alive00`05b6818.m3u8
|AR| BEIN SPORTS 4 BG	00`05alive00`05b402507.m3u8
|AR| BEIN SPORTS 5 4K	00`05alive00`05b6817.m3u8
|AR| BEIN SPORTS 5 BG	00`05alive00`05b402508.m3u8
|AR| BEIN SPORTS 6 4K	00`05alive00`05b6819.m3u8
|AR| BEIN SPORTS 6 BG	00`05alive00`05b402509.m3u8
|AR| BEIN SPORTS 7 4K	00`05alive00`05b6820.m3u8
|AR| BEIN SPORTS 8 4K	00`05alive00`05b6821.m3u8
|AR| BEIN SPORTS 8 BG	00`05alive00`05b402511.m3u8
|AR| BEIN SPORTS 9 4K	00`05alive00`05b6822.m3u8
|AR| BEIN SPORTS 9 BG	00`05alive00`05b402512.m3u8
|AR| BEIN SPORTS 1 ENGLISH 4k	00`05alive00`05b63495.m3u8
|AR| BEIN SPORTS 1 FRENCH 4K	00`05alive00`05b105256.m3u8
|AR| BEIN SPORTS XTRA 1 4K	00`05alive00`05b117761.m3u8
|AR| BEIN SPORTS XTRA 2 4K	00`05alive00`05b117762.m3u8
|AR| BEIN SPORTS XTRA 3 4K	00`05alive00`05b14710.m3u8
|AR| BEIN SPORTS AFC 1 4K	00`05alive00`05b177007.m3u8
|AR| BEIN SPORTS NBA 4K	00`05alive00`05b336789.m3u8
|FR| TF1 FHD	00`05alive00`05b127274.m3u8
|FR| TF1 +1  FHD	00`05alive00`05b290273.m3u8
|FR| FRANCE 2 FHD	00`05alive00`05b127275.m3u8
|FR| FRANCE 3 FHD	00`05alive00`05b127276.m3u8
|FR| FRANCE 4 FHD	00`05alive00`05b127278.m3u8
|FR| FRANCE 5 FHD	00`05alive00`05b127279.m3u8
|FR| 6TER FHD	00`05alive00`05b127280.m3u8
|FR| ARTE FHD	00`05alive00`05b127281.m3u8
|FR| M6 FHD	00`05alive00`05b127282.m3u8
|FR| M6 INTERNATIONAL FHD	00`05alive00`05b272388.m3u8
|FR| W9 FHD	00`05alive00`05b127283.m3u8
|FR| NRJ 12 FHD	00`05alive00`05b127284.m3u8
|FR| TFX FHD	00`05alive00`05b127285.m3u8
|FR| TF1 SERIES FILMS FHD	00`05alive00`05b127286.m3u8
|FR| C8 FHD	00`05alive00`05b127287.m3u8
|FR| CSTAR FHD	00`05alive00`05b127288.m3u8
|FR| TMC FHD	00`05alive00`05b127289.m3u8
|FR| RMC STORY FHD	00`05alive00`05b127290.m3u8
|FR| CHERIE 25 FHD	00`05alive00`05b127291.m3u8
|FR| CANAL 9 HD	00`05alive00`05b127293.m3u8
|FR| M6 INTERNATIONAL HEVC	00`05alive00`05b272387.m3u8
|FR| TF1 +1 SD	00`05alive00`05b403991.m3u8
|FR| M6 INTERNATIONAL SD	00`05alive00`05b272389.m3u8
-----| MY CANAL FRANCE FHD |-----	00`05alive00`05b126808.m3u8
|FR| CANAL+ FHD	00`05alive00`05b126809.m3u8
|FR| CANAL+ CINEMA FHD	00`05alive00`05b126810.m3u8
|FR| CANAL+ FAMILY FHD	00`05alive00`05b126812.m3u8
|FR| CANAL+ SERIES FHD	00`05alive00`05b126813.m3u8
|FR| CANAL+ SPORT FHD	00`05alive00`05b126814.m3u8
|FR| CANAL+ TOP14 FHD	00`05alive00`05b126815.m3u8
|FR| CANAL+ PREMIER LEAGUE FHD	00`05alive00`05b126816.m3u8
|FR| CANAL+ FORMULA1 FHD	00`05alive00`05b126818.m3u8
|FR| CANAL+ MOTOGP FHD	00`05alive00`05b126819.m3u8
|FR| CANAL+ 360 FHD	00`05alive00`05b199686.m3u8
|FR| CANAL+ FOOT FHD	00`05alive00`05b199965.m3u8
|FR| CANAL+ 360 HEVC	00`05alive00`05b199685.m3u8
|FR| CANAL+ FOOT HEVC	00`05alive00`05b199964.m3u8
|FR| CANAL+ FOOT SD	00`05alive00`05b199963.m3u8
|FR| CANAL+ 360 SD	00`05alive00`05b199966.m3u8
-----| CINÉMA FRANCE FHD |-----	00`05alive00`05b127214.m3u8
|FR| CINE+ PREMIER FHD	00`05alive00`05b127215.m3u8
|FR| CINE+ FRISSON FHD	00`05alive00`05b127216.m3u8
|FR| CINE+ EMOTION FHD	00`05alive00`05b127217.m3u8
|FR| CINE+ FAMIZ FHD	00`05alive00`05b127218.m3u8
|FR| CINE+ CLUB FHD	00`05alive00`05b127219.m3u8
|FR| CINE+ CLASSIC FHD	00`05alive00`05b127220.m3u8
|FR| OCS MAX FHD	00`05alive00`05b127221.m3u8
|FR| OCS CITY FHD	00`05alive00`05b127222.m3u8
|FR| OCS GEANT FHD	00`05alive00`05b127224.m3u8
|FR| NOVELAS TV FHD	00`05alive00`05b127227.m3u8
|FR| POLAR+ FHD	00`05alive00`05b127228.m3u8
|FR| CRIME DISTRICT FHD	00`05alive00`05b127229.m3u8
|FR| PARAMOUNT CHANNEL FHD	00`05alive00`05b127230.m3u8
|FR| PARAMOUNT DECALE FHD	00`05alive00`05b127231.m3u8
|FR| ACTION FHD	00`05alive00`05b127232.m3u8
|FR| TCM CINEMA FHD	00`05alive00`05b127233.m3u8
