Click again if The Purple Screen shows up!	^--
ATG LIVE SE	00`b0012086/index.m3u8
BBC EARTH HD SE	00`b0012098/index.m3u8
BOOMERANG SE	00`b0012097/index.m3u8
C MORE FIRST HD SE	00`b0012087/index.m3u8
C MORE FOOTBALL HD SE	00`b0012032/index.m3u8
C MORE GOLF HD SE	00`b0012033/index.m3u8
C MORE HITS HD SE	00`b0012034/index.m3u8
C MORE HOKEY HD SE	00`b0012035/index.m3u8
C MORE LIVE 1 HD SE	00`b0012036/index.m3u8
C MORE LIVE 2 HD SE	00`b0012037/index.m3u8
C MORE LIVE 3 HD SE	00`b0012038/index.m3u8
C MORE LIVE 4 HD SE	00`b0012039/index.m3u8
C MORE LIVE 5 HD SE	00`b0012040/index.m3u8
C MORE SERIES HD SE	00`b0012041/index.m3u8
C More Sport 1 HD FI	00`b002541/index.m3u8
C More Sport HD SE	00`b002515/index.m3u8
C MORE STARTS HD SE	00`b0012042/index.m3u8
CARTOON NETWORK SE	00`b0012043/index.m3u8
DI TV HD SE	00`b0012088/index.m3u8
DISCOVERY SCIENCE SE	00`b0012044/index.m3u8
DISNEY JUNIOR SE	00`b0012045/index.m3u8
DISNEY XD SE	00`b0012046/index.m3u8
EUROSPORT 1 HD SE	00`b0012047/index.m3u8
EUROSPORT 2 HD SE	00`b0012048/index.m3u8
EXPRESSEN TV HD SE	00`b0012089/index.m3u8
HIMLEN SE	00`b0012090/index.m3u8
HISTORY 2 HD SE	00`b0012095/index.m3u8
HISTORY HD SE	00`b0012096/index.m3u8
HORSE & COUNTRY HD SE	00`b0012050/index.m3u8
ID DISCOVERY SE	00`b0012051/index.m3u8
KANAL 10 HD SE	00`b0012091/index.m3u8
Kanal 11 HD SE	00`b007357/index.m3u8
KANAL 5 HD SE	00`b0012052/index.m3u8
KANAL 9 HD SE	00`b0012053/index.m3u8
KUNSKAPSKANALEN HD SE	00`b0012054/index.m3u8
MTV SE	00`b0012055/index.m3u8
National Geographic SE	00`b0012099/index.m3u8
NATIONAL GEOGRAPHICS HD SE	00`b0012056/index.m3u8
NICK JUNIOR SE	00`b0012057/index.m3u8
NICKELODEON SE	00`b0012058/index.m3u8
NICKTOONS SE	00`b0012059/index.m3u8
Paramount Network HD SE	00`b0012060/index.m3u8
SF-KANALEN SE	00`b0012061/index.m3u8
SJUAN HD SE	00`b0012062/index.m3u8
SVT 1 HD SE	00`b0012063/index.m3u8
SVT1 HD SE	00`b007350/index.m3u8
SVT2 HD SE	00`b007351/index.m3u8
SVTB SVT 24 HD SE	00`b0012064/index.m3u8
SVTB/SVT24 HD SE	00`b007352/index.m3u8
TLC HD SE	00`b0012065/index.m3u8
TV 3 HD SE	00`b0012066/index.m3u8
TV 4 FAKTA SE	00`b0012070/index.m3u8
TV 4 FILM SE	00`b0012069/index.m3u8
TV 4 GULD SE	00`b0012067/index.m3u8
TV 4 HD SE	00`b0012071/index.m3u8
TV 6 HD SE	00`b0012068/index.m3u8
TV10 HD SE	00`b0012103/index.m3u8
TV12 HD SE	00`b007353/index.m3u8
TV3 SPORT SE	00`b0012100/index.m3u8
TV8 SE	00`b0012102/index.m3u8
V Sport Football FHD	00`b0011110/index.m3u8
V Sport Vinter FHD	00`b0011111/index.m3u8
V Sport Vinter HD SE	00`b0012078/index.m3u8
VÄSTMANLANDS TV HD SE	00`b0012093/index.m3u8
VIASAT EXPLORE HD SE	00`b0012085/index.m3u8
VIASAT FILM ACTION HD SE	00`b0012081/index.m3u8
VIASAT FILM FAMILY SE	00`b0012083/index.m3u8
VIASAT FILM HITS HD SE	00`b0012072/index.m3u8
VIASAT FILM PREMIER HD SE	00`b0012082/index.m3u8
VIASAT HISTORY HD SE	00`b0012101/index.m3u8
VIASAT MOTOR HD SE	00`b0012104/index.m3u8
VIASAT NATURE HD SE	00`b0012084/index.m3u8
VIASAT SERIES HD SE	00`b0012073/index.m3u8
VIASAT SPORT EXTRA HD SE	00`b0012074/index.m3u8
VIASAT SPORT FOOTBAL HD SE	00`b0012076/index.m3u8
VIASAT SPORT GOLF HD SE	00`b0012077/index.m3u8
VIASAT SPORT HD SE	00`b0012075/index.m3u8
VIASAT SPORT PREMIUM HD SE	00`b0012079/index.m3u8
A&E CA	00`b006419/index.m3u8
ABC Buffalo CA	00`b006507/index.m3u8
ABC Spark CA	00`b006466/index.m3u8
Adult Swim HD CA	00`b006540/index.m3u8
AMC CA	00`b006510/index.m3u8
BNN Bloomberg HD CA	00`b006465/index.m3u8
Cartoon Network CA	00`b006508/index.m3u8
CBC News Network HD CA	00`b006442/index.m3u8
CBC Oshawa CA	00`b006421/index.m3u8
CBC Toronto CA	00`b006497/index.m3u8
CBC Toronto HD CA	00`b006513/index.m3u8
CBS Buffalo HD CA	00`b006534/index.m3u8
CHCH HD CA	00`b006432/index.m3u8
City TV Toronto HD CA	00`b006429/index.m3u8
CMT Canada CA	00`b006448/index.m3u8
CNBC Canada CA	00`b006482/index.m3u8
CNN CA	00`b006499/index.m3u8
CNN HD CA	00`b006538/index.m3u8
CP 24 CA	00`b006501/index.m3u8
CPAC English CA	00`b006494/index.m3u8
CPAC French CA	00`b006523/index.m3u8
Crime + Investigation CA	00`b006506/index.m3u8
CTV Comedy HD CA	00`b006454/index.m3u8
CTV Drama HD CA	00`b006450/index.m3u8
CTV News Channel HD CA	00`b006468/index.m3u8
CTV SCI-FI HD CA	00`b006459/index.m3u8
CTV Toronto CA	00`b006496/index.m3u8
CTV Two Atlantic CA	00`b006423/index.m3u8
Discovery Channel HD CA	00`b006452/index.m3u8
Disney Channel HD CA	00`b006490/index.m3u8
Disney Junior CA	00`b006489/index.m3u8
Disney XD CA	00`b006503/index.m3u8
DIY Network CA	00`b006488/index.m3u8
DTour HD CA	00`b006463/index.m3u8
E! Entertainment HD CA	00`b006469/index.m3u8
Family HD CA	00`b006460/index.m3u8
Family Jr. HD CA	00`b006474/index.m3u8
Food Network HD CA	00`b006464/index.m3u8
FOX Buffalo CA	00`b006519/index.m3u8
FOX Buffalo HD CA	00`b006537/index.m3u8
FX HD CA	00`b006435/index.m3u8
FXX HDTV CA	00`b006470/index.m3u8
Game TV CA	00`b006476/index.m3u8
Global Toronto HD CA	00`b006427/index.m3u8
Golf Channel HD CA	00`b006481/index.m3u8
Headline News HD CA	00`b006483/index.m3u8
HGTV Canada CA	00`b006525/index.m3u8
HGTV HD CA	00`b006456/index.m3u8
History HD CA	00`b006453/index.m3u8
History Television CA	00`b006520/index.m3u8
HLN CA	00`b006500/index.m3u8
ICI Radio-Canada Télé CA	00`b006515/index.m3u8
ICI RDI CA	00`b006530/index.m3u8
ICI RDI HD CA	00`b006425/index.m3u8
Lifetime HD CA	00`b006484/index.m3u8
Makeful CA	00`b006495/index.m3u8
MLB Network HD CA	00`b006512/index.m3u8
MovieTime HD CA	00`b006486/index.m3u8
MTV HD CA	00`b006461/index.m3u8
NatGeo HD CA	00`b006485/index.m3u8
NatGeo Wild HD CA	00`b006473/index.m3u8
NBA TV Canada CA	00`b006491/index.m3u8
NBC Buffalo CA	00`b006505/index.m3u8
NBC Buffalo HD CA	00`b006535/index.m3u8
NFL Network HD CA	00`b006424/index.m3u8
NFL Network HD CA	00`b006480/index.m3u8
Nickelodeon CA	00`b006504/index.m3u8
OLN HD CA	00`b006447/index.m3u8
OMNI.1 HD CA	00`b006428/index.m3u8
OMNI.2 HD CA	00`b006434/index.m3u8
OWN HD CA	00`b006475/index.m3u8
PBS Buffalo CA	00`b006518/index.m3u8
Peachtree CA	00`b006527/index.m3u8
Peachtree TV HD CA	00`b006457/index.m3u8
Showcase CA	00`b006526/index.m3u8
Showcase HD CA	00`b006449/index.m3u8
Slice HD CA	00`b006451/index.m3u8
Sportsnet 360 HD CA	00`b006462/index.m3u8
Sportsnet East HD CA	00`b006477/index.m3u8
Sportsnet ONE HD CA	00`b006438/index.m3u8
Sportsnet Ontario HD CA	00`b006439/index.m3u8
Sportsnet Pacific HD CA	00`b006479/index.m3u8
Sportsnet West HD CA	00`b006478/index.m3u8
TCTV2 CA	00`b006437/index.m3u8
Teletoon HD CA	00`b006455/index.m3u8
TFO HD CA	00`b006433/index.m3u8
TLC CA	00`b006524/index.m3u8
TLC HD CA	00`b006446/index.m3u8
Treehouse HD CA	00`b006471/index.m3u8
Treehouse TV CA	00`b006502/index.m3u8
TSN 1 HD CA	00`b006521/index.m3u8
TSN 2 HD CA	00`b006492/index.m3u8
TSN 3 HD CA	00`b006522/index.m3u8
TSN 4 HD CA	00`b006445/index.m3u8
Turner Classic Movies CA	00`b006509/index.m3u8
Turner Classic Movies HD CA	00`b006458/index.m3u8
TV Ontario HD CA	00`b006426/index.m3u8
TV5 CA	00`b006531/index.m3u8
TVA Montreal CA	00`b006511/index.m3u8
Unis TV HD CA	00`b006532/index.m3u8
Vision TV CA	00`b006467/index.m3u8
W Network HD CA	00`b006443/index.m3u8
WNLO Buffalo CA	00`b006517/index.m3u8
Yes TV HD CA	00`b006431/index.m3u8
YTV HD CA	00`b006441/index.m3u8
24 Ghanta IN	00`b006638/index.m3u8
9X Tashan IN	00`b006672/index.m3u8
Aaj Tak IN	00`b006567/index.m3u8
Aapka Colors IN	00`b006568/index.m3u8
Aastha Bhajan IN	00`b006587/index.m3u8
Aastha TV IN	00`b006581/index.m3u8
AATH IN	00`b006641/index.m3u8
Alpha ETC Punjabi IN	00`b006671/index.m3u8
ARY Digital IN	00`b006719/index.m3u8
ARY News IN	00`b006720/index.m3u8
ATN Bangla IN	00`b006640/index.m3u8
ATN News IN	00`b006635/index.m3u8
B4U Movies IN	00`b006569/index.m3u8
B4U Music IN	00`b006570/index.m3u8
Bollywood HD	00`b00239/index.m3u8
Bollywood HD orig	00`b009225/index.m3u8
Channel I IN	00`b006633/index.m3u8
Chardikla Time TV IN	00`b006680/index.m3u8
Colors Cineplex IN	00`b006592/index.m3u8
Colors Kannada IN	00`b006646/index.m3u8
Colors Rishtey IN	00`b006586/index.m3u8
Desi Channel IN	00`b006681/index.m3u8
Express Entertainment IN	00`b006727/index.m3u8
Express News IN	00`b006721/index.m3u8
Fateh TV IN	00`b006685/index.m3u8
Food Food IN	00`b006583/index.m3u8
Gabruu TV IN	00`b006691/index.m3u8
Gemini Comedy IN	00`b006711/index.m3u8
Gemini Movies IN	00`b006710/index.m3u8
Gemini TV IN	00`b006709/index.m3u8
GEO News IN	00`b006722/index.m3u8
Gurbaani TV IN	00`b006690/index.m3u8
HMTV IN	00`b006716/index.m3u8
HUM Sitaray IN	00`b006731/index.m3u8
HUM TV IN	00`b006730/index.m3u8
Ishwar IN	00`b006618/index.m3u8
Jaya Plus IN	00`b006698/index.m3u8
Jaya TV IN	00`b006696/index.m3u8
JMovies IN	00`b006699/index.m3u8
JUS One IN	00`b006675/index.m3u8
Kairali TV IN	00`b006652/index.m3u8
KTV IN	00`b006693/index.m3u8
Mazhavil Manorama IN	00`b006654/index.m3u8
MTV India IN	00`b006582/index.m3u8
NDTV 24x7 IN	00`b006578/index.m3u8
NDTV 24x7 IN	00`b006620/index.m3u8
News18 Bangla IN	00`b006639/index.m3u8
News18 Gujarati IN	00`b006644/index.m3u8
News18 India IN	00`b006616/index.m3u8
News18 Lokmat IN	00`b006661/index.m3u8
News18 Tamil IN	00`b006706/index.m3u8
Prajaa TV IN	00`b006650/index.m3u8
PTC Chak De IN	00`b006673/index.m3u8
PTC Dhol TV IN	00`b006688/index.m3u8
PTC News IN	00`b006674/index.m3u8
PTC Punjabi Gold IN	00`b006686/index.m3u8
PTC Punjabi IN	00`b006670/index.m3u8
PTC Simran IN	00`b006687/index.m3u8
Public Music IN	00`b006651/index.m3u8
Public TV IN	00`b006649/index.m3u8
R.Bharat IN	00`b006628/index.m3u8
Raj Digital Plus IN	00`b006701/index.m3u8
Raj Musix IN	00`b006702/index.m3u8
Raj News IN	00`b006703/index.m3u8
Raj TV IN	00`b006700/index.m3u8
Republic TV IN	00`b006629/index.m3u8
Sadhna Prime News IN	00`b006603/index.m3u8
Sadhna TV IN	00`b006606/index.m3u8
Sahara One IN	00`b006572/index.m3u8
Sahara Samay IN	00`b006573/index.m3u8
Sanjha TV IN	00`b006682/index.m3u8
Sanskar IN	00`b006588/index.m3u8
Sarthak TV IN	00`b006664/index.m3u8
Satsang TV IN	00`b006624/index.m3u8
SET IN	00`b006575/index.m3u8
SET Max IN	00`b006574/index.m3u8
Shubh TV IN	00`b006623/index.m3u8
Sony Marathi IN	00`b006662/index.m3u8
Sony Max 2 IN	00`b006625/index.m3u8
Sony Pal IN	00`b006626/index.m3u8
Sony SAB IN	00`b006571/index.m3u8
Sony Yay IN	00`b006627/index.m3u8
Star Sports 1 IN	00`b002508/index.m3u8
Star Sports 2 IN	00`b002507/index.m3u8
SUN Music IN	00`b006694/index.m3u8
SUN TV IN	00`b006692/index.m3u8
Surya Movies IN	00`b006653/index.m3u8
Surya TV IN	00`b006655/index.m3u8
SVBC IN	00`b006714/index.m3u8
Times Now IN	00`b006580/index.m3u8
TV Asia IN	00`b006579/index.m3u8
TV9 Gujarati IN	00`b006643/index.m3u8
Udaya TV IN	00`b006648/index.m3u8
Vaani TV IN	00`b006621/index.m3u8
Zee Anmol IN	00`b006597/index.m3u8
Zee Bangla Cinema IN	00`b006637/index.m3u8
Zee Bangla IN	00`b006636/index.m3u8
Zee Bihar Jharkhand IN	00`b006642/index.m3u8
Zee Business IN	00`b006599/index.m3u8
Zee Cinema HD IN	00`b006595/index.m3u8
Zee Cinema IN	00`b006577/index.m3u8
Zee Cinemalu IN	00`b006708/index.m3u8
Zee Classic IN	00`b006596/index.m3u8
Zee Kannada IN	00`b006647/index.m3u8
Zee Marathi IN	00`b006658/index.m3u8
Zee News IN	00`b006591/index.m3u8
Zee Punjabi IN	00`b006676/index.m3u8
Zee Smile IN	00`b006622/index.m3u8
Zee Talkies IN	00`b006660/index.m3u8
Zee Tamil IN	00`b006704/index.m3u8
Zee Telugu IN	00`b006713/index.m3u8
Zee TV HD IN	00`b006576/index.m3u8
Zing IN	00`b006589/index.m3u8
1 Music Channel RO	00`b006963/index.m3u8
Acasă Gold RO	00`b006945/index.m3u8
Acasă TV HD RO	00`b006988/index.m3u8
Agro TV RO	00`b007023/index.m3u8
ALFA OMEGA TV RO	00`b006946/index.m3u8
AMC RO	00`b006949/index.m3u8
Animal Planet HD RO	00`b006989/index.m3u8
Antena 1 HD RO	00`b007002/index.m3u8
Antena 3 CNN HD RO	00`b007003/index.m3u8
Antena Stars HD RO	00`b007004/index.m3u8
Auto Motor Sport RO	00`b002539/index.m3u8
AXN Black RO	00`b006952/index.m3u8
AXN HD RO	00`b007008/index.m3u8
AXN SPIN RO	00`b007012/index.m3u8
AXN White RO	00`b006950/index.m3u8
BBC Earth RO	00`b007032/index.m3u8
Bollywood TV RO	00`b007054/index.m3u8
Bucuresti 1 TV RO	00`b006994/index.m3u8
Cartoon Network RO	00`b006966/index.m3u8
Cartoonito RO	00`b006974/index.m3u8
CBS Reality RO	00`b007053/index.m3u8
CineMax 2 RO	00`b006982/index.m3u8
CineMax HD RO	00`b006985/index.m3u8
Cinethronix RO	00`b0015251/index.m3u8
Comedy Central RO	00`b007025/index.m3u8
Credo TV RO	00`b007052/index.m3u8
DIGI 24 HD RO	00`b007009/index.m3u8
DIGI ANIMAL WORLD HD RO	00`b007038/index.m3u8
DIGI Life HD RO	00`b007039/index.m3u8
DIGI Sport 1 HD RO	00`b002523/index.m3u8
DIGI Sport 2 HD RO	00`b002522/index.m3u8
DIGI Sport 3 HD RO	00`b002524/index.m3u8
DIGI Sport 4 HD RO	00`b002538/index.m3u8
DIGI WORLD HD RO	00`b007040/index.m3u8
Discovery RO	00`b006968/index.m3u8
Discovery Science RO	00`b006956/index.m3u8
Disney Channel RO	00`b006965/index.m3u8
Disney Jr RO	00`b006967/index.m3u8
Diva RO	00`b007016/index.m3u8
DocuBox RO	00`b007049/index.m3u8
DTX RO	00`b007030/index.m3u8
ducktv RO	00`b007048/index.m3u8
E! Entertainment HD RO	00`b006093/index.m3u8
Epic Drama RO	00`b007057/index.m3u8
Etno RO	00`b007027/index.m3u8
Eurosport 1 HD RO	00`b006992/index.m3u8
Extreme Sport RO	00`b006964/index.m3u8
Fashion TV RO	00`b007051/index.m3u8
Favorit TV RO	00`b006979/index.m3u8
FightBox	00`b0015232/index.m3u8
Film Cafe RO	00`b006953/index.m3u8
Film Now HD RO	00`b006999/index.m3u8
FilmBox Extra HD RO	00`b006996/index.m3u8
Filmbox Family RO	00`b007044/index.m3u8
FilmBox Premium RO	00`b007043/index.m3u8
Filmbox RO	00`b006948/index.m3u8
Filmbox Stars RO	00`b007045/index.m3u8
Food Network RO	00`b007046/index.m3u8
Happy Channel HD RO	00`b007035/index.m3u8
HBO 2 HD RO	00`b007005/index.m3u8
HBO 2 RO	00`b007029/index.m3u8
HBO 3 HD RO	00`b006987/index.m3u8
HBO 3 RO	00`b007013/index.m3u8
HBO HD RO	00`b006986/index.m3u8
HBO RO	00`b007014/index.m3u8
History HD RO	00`b007006/index.m3u8
Hora TV RO	00`b007024/index.m3u8
Investigation Discovery RO	00`b006957/index.m3u8
JimJam RO	00`b006961/index.m3u8
Kanal D HD RO	00`b006984/index.m3u8
Kiss TV RO	00`b006962/index.m3u8
MEZZO RO	00`b007011/index.m3u8
Minimax RO	00`b006960/index.m3u8
Mooz Dance HD RO	00`b007056/index.m3u8
MTV 00s RO	00`b007026/index.m3u8
MTV 80s RO	00`b006977/index.m3u8
MTV 90s RO	00`b006976/index.m3u8
MTV Hits RO	00`b006978/index.m3u8
MTV RO	00`b007031/index.m3u8
Nat Geo Wild HD RO	00`b007010/index.m3u8
NatGeo Wild RO	00`b007021/index.m3u8
National 24 Plus RO	00`b006947/index.m3u8
National Geographic HD RO	00`b006991/index.m3u8
National Geographic RO	00`b007018/index.m3u8
National TV RO	00`b006983/index.m3u8
Nick Jr RO	00`b007042/index.m3u8
Nickelodeon RO	00`b006972/index.m3u8
Prima Sport 1 HD RO	00`b007059/index.m3u8
Prima Sport 2 HD RO	00`b007060/index.m3u8
Prima TV RO	00`b006995/index.m3u8
Pro Arena HD RO	00`b006990/index.m3u8
Pro Cinema RO	00`b006951/index.m3u8
PRO TV INTERNATIONAL RO	00`b007055/index.m3u8
Pro TV RO	00`b006997/index.m3u8
Realitatea Plus RO	00`b006958/index.m3u8
Romania TV RO	00`b006959/index.m3u8
Taraf TV RO	00`b007022/index.m3u8
TeenNick RO	00`b006971/index.m3u8
TLC RO	00`b006969/index.m3u8
Travel Channel HD RO	00`b007007/index.m3u8
Travel Mix RO	00`b006954/index.m3u8
Trinitas RO	00`b007047/index.m3u8
TV 1000 RO	00`b006944/index.m3u8
TV Paprika RO	00`b006955/index.m3u8
TVR 1 HD RO	00`b006998/index.m3u8
TVR 1 RO	00`b006941/index.m3u8
TVR 2 RO	00`b006942/index.m3u8
TVR 3 RO	00`b006943/index.m3u8
TVR International RO	00`b007000/index.m3u8
UTV HD RO	00`b007036/index.m3u8
UTV RO	00`b007017/index.m3u8
Viasat Explore RO	00`b006981/index.m3u8
Viasat History RO	00`b006980/index.m3u8
Viasat Nature HD RO	00`b007037/index.m3u8
Warner TV RO	00`b007033/index.m3u8
ZU TV HD RO	00`b007034/index.m3u8
Zu TV RO	00`b006973/index.m3u8
Animal Planet	00`b0031284/index.m3u8
Animal Planet HD DE	00`b0020013/index.m3u8
Animal Planet HD DE	00`b007257/index.m3u8
ARD DE	00`b0016058/index.m3u8
ARTE	00`b0031288/index.m3u8
arte HD DE	00`b0015171/index.m3u8
ATV DE	00`b0015176/index.m3u8
Cartoonito HD (Sky) DE	00`b0020042/index.m3u8
Comedy Central	00`b0031302/index.m3u8
Comedy Central HD DE	00`b006081/index.m3u8
Das Erste	00`b0031306/index.m3u8
Das Erste HD DE	00`b0015172/index.m3u8
DE 13TH STREET (Sky) HD	00`b0020030/index.m3u8
DE Bergblick HD	00`b0020020/index.m3u8
DE BonGusto HD	00`b0020004/index.m3u8
DE Cartoon Network (Sky) HD	00`b0020044/index.m3u8
DE Cartoon Network HD	00`b0020002/index.m3u8
DE Crime+Investigation (Sky) HD	00`b0020041/index.m3u8
DE Crime+Investigation HD	00`b0020014/index.m3u8
DE Curiosity Channel powered by SPIEGEL (Sky) HD	00`b0020038/index.m3u8
DE Curiosity Channel powered by SPIEGEL HD	00`b0020022/index.m3u8
DE Discovery Channel (Sky) HD	00`b0020040/index.m3u8
DE Discovery Channel HD	00`b0020015/index.m3u8
DE E! Entertainment (Sky) HD	00`b0020032/index.m3u8
DE E! Entertainment HD	00`b0020005/index.m3u8
DE GEO Television HD	00`b0020016/index.m3u8
DE Heimatkanal	00`b0020006/index.m3u8
DE Jukebox HD	00`b0020027/index.m3u8
DE MagentaTV Info HD	00`b0020046/index.m3u8
DE National Geographic (Sky) HD	00`b0020035/index.m3u8
DE National Geographic HD	00`b0020018/index.m3u8
DE National Geographic Wild (Sky) HD	00`b0020036/index.m3u8
DE National Geographic Wild HD	00`b0020019/index.m3u8
DE Nick Jr. (Sky) HD	00`b0020043/index.m3u8
DE OstWest	00`b0020028/index.m3u8
DE RTL Living HD	00`b0020009/index.m3u8
DE SAT.1 emotions HD	00`b0020010/index.m3u8
DE SONY CHANNEL HD	00`b0020011/index.m3u8
DE Spiegel Geschichte (Sky) HD	00`b0020037/index.m3u8
DE Spiegel Geschichte HD	00`b0020021/index.m3u8
DE SYFY (Sky) HD	00`b0020029/index.m3u8
DE The HISTORY Channel (Sky) HD	00`b0020039/index.m3u8
DE The HISTORY Channel HD	00`b0020017/index.m3u8
DE Universal TV (Sky) HD	00`b0020031/index.m3u8
DE Warner TV Comedy (Sky) HD	00`b0020034/index.m3u8
DE Warner TV Film (Sky) HD	00`b0020045/index.m3u8
DE Warner TV Serie (Sky) HD	00`b0020033/index.m3u8
DE wetter.com TV	00`b0020012/index.m3u8
Deutsche Welle DE	00`b001021/index.m3u8
DMAX	00`b0031310/index.m3u8
DMAX HD DE	00`b0015281/index.m3u8
Eurosport 1	00`b0031314/index.m3u8
Eurosport HD DE	00`b0015179/index.m3u8
Eurosport360 1 HD DE	00`b0019039/index.m3u8
Eurosport360 2 HD DE	00`b0019040/index.m3u8
FC Bayern TV	00`b0019024/index.m3u8
HR HD DE	00`b0015180/index.m3u8
hr-fernsehen	00`b0031324/index.m3u8
Kabel Eins	00`b0031329/index.m3u8
Kabel Eins HD DE	00`b006067/index.m3u8
KiKA	00`b0031332/index.m3u8
KIKA HD DE	00`b0015175/index.m3u8
Motorvision TV DE	00`b006112/index.m3u8
MOTORVISION.TV	00`b0031342/index.m3u8
Nat Geo Wild HD DE	00`b007256/index.m3u8
NatGeo HD DE	00`b007255/index.m3u8
National Geographic	00`b0031347/index.m3u8
National Geographic Wild	00`b0031348/index.m3u8
NDR Fernsehen Niedersachsen	00`b0031349/index.m3u8
NDR HD DE	00`b0015181/index.m3u8
Nick Jr.	00`b0031350/index.m3u8
Nick Jr. DE	00`b0020003/index.m3u8
Nickelodeon HD DE	00`b0015182/index.m3u8
NITRO	00`b0031352/index.m3u8
n-tv	00`b0031345/index.m3u8
N-TV HD DE	00`b007259/index.m3u8
ORF 1 HD DE	00`b0015177/index.m3u8
ProSieben	00`b0031359/index.m3u8
ProSieben HD DE	00`b006057/index.m3u8
ProSieben MAXX	00`b0031361/index.m3u8
ProSieben Maxx HD DE	00`b0015174/index.m3u8
Romance TV	00`b0031367/index.m3u8
Romance TV HH DE	00`b0020008/index.m3u8
RTL	00`b0031368/index.m3u8
RTL 2 HD DE	00`b006065/index.m3u8
RTL Crime	00`b0031369/index.m3u8
RTL Crime DE	00`b0015178/index.m3u8
RTL HD DE	00`b006062/index.m3u8
RTL Nitro HD DE	00`b006064/index.m3u8
RTL Passion	00`b0031371/index.m3u8
RTL Passion HD DE	00`b0020007/index.m3u8
RTL Passion HD DE	00`b007230/index.m3u8
SAT.1	00`b0031380/index.m3u8
Sat.1 HD DE	00`b006060/index.m3u8
sixx	00`b0031388/index.m3u8
SIXX HD DE	00`b0015170/index.m3u8
Sky Arts HD DE	00`b002494/index.m3u8
sky Atlantic DE	00`b0019009/index.m3u8
Sky Atlantic HD DE	00`b002488/index.m3u8
sky Cinema Action DE	00`b0019016/index.m3u8
Sky Cinema Action HD DE	00`b002482/index.m3u8
sky Cinema Classics DE	00`b0019017/index.m3u8
sky Cinema Classics HD DE	00`b0019005/index.m3u8
sky Cinema Family DE	00`b0019008/index.m3u8
Sky Cinema Family HD DE	00`b002489/index.m3u8
Sky Cinema Fun DE	00`b002483/index.m3u8
sky Cinema Fun DE	00`b0019010/index.m3u8
sky Cinema Fun HD DE	00`b0019018/index.m3u8
Sky Cinema HD DE	00`b002484/index.m3u8
Sky Cinema Nostalgie DE	00`b002490/index.m3u8
sky Cinema Premieren +24 DE	00`b0019015/index.m3u8
sky Cinema Premieren DE	00`b0019014/index.m3u8
sky Cinema Special DE	00`b0019013/index.m3u8
Sky Cinema Special HD DE	00`b002485/index.m3u8
sky Cinema Thriller HD DE	00`b0019004/index.m3u8
Sky Cinema Thriller HD DE	00`b007229/index.m3u8
sky Comedy DE	00`b0019012/index.m3u8
sky Comedy HD DE	00`b0019002/index.m3u8
sky Crime HD DE	00`b0019001/index.m3u8
Sky Documentaries HD DE	00`b0019021/index.m3u8
Sky Hits HD DE	00`b002486/index.m3u8
Sky Krimi DE	00`b002491/index.m3u8
sky Krimi DE	00`b0019019/index.m3u8
Sky Nature HD DE	00`b0019020/index.m3u8
sky one DE	00`b0019011/index.m3u8
sky one HD DE	00`b0019000/index.m3u8
sky replay HD DE	00`b0019006/index.m3u8
Sky Romance TV FHD DE	00`b007231/index.m3u8
sky Serien & Shows DE	00`b0019007/index.m3u8
sky Serien & Shows HD DE	00`b0019003/index.m3u8
sky Sport 1 DE	00`b0019028/index.m3u8
sky Sport 1 FHD DE	00`b0019027/index.m3u8
Sky Sport 1 HD DE	00`b002478/index.m3u8
sky Sport 10 DE	00`b0019037/index.m3u8
sky Sport 2 DE	00`b0019029/index.m3u8
Sky Sport 2 HD DE	00`b002479/index.m3u8
sky Sport 3 DE	00`b0019030/index.m3u8
sky Sport 4 DE	00`b0019031/index.m3u8
sky Sport 5 DE	00`b0019032/index.m3u8
sky Sport 6 DE	00`b0019033/index.m3u8
sky Sport 7 DE	00`b0019034/index.m3u8
sky Sport 8 DE	00`b0019035/index.m3u8
sky Sport 9 DE	00`b0019036/index.m3u8
Sky Sport Austria 1 HD DE	00`b002492/index.m3u8
Sky Sport Austria 2 DE	00`b006113/index.m3u8
sky Sport Austria 4 HD (ONLY ON MATCH DAYS)	00`b0019038/index.m3u8
Sky Sport Bundesliga 1 HD DE	00`b002480/index.m3u8
Sky Sport Bundesliga 2 HD DE	00`b007234/index.m3u8
Sky Sport Bundesliga 3 HD DE	00`b007235/index.m3u8
Sky Sport Bundesliga 4 HD DE	00`b007236/index.m3u8
Sky Sport Bundesliga 5 HD DE	00`b007237/index.m3u8
Sky Sport Bundesliga 6 HD DE	00`b007238/index.m3u8
Sky Sport Bundesliga 7 HD DE	00`b007239/index.m3u8
Sky Sport Bundesliga 8 HD DE	00`b007240/index.m3u8
Sky Sport Bundesliga 9 DE	00`b006097/index.m3u8
Sky Sport Bundesliga 9 HD DE	00`b007241/index.m3u8
sky Sport F1 DE	00`b0019022/index.m3u8
Sky Sport F1 FHD DE	00`b0010079/index.m3u8
Sky Sport FHD DE	00`b0019041/index.m3u8
Sky Sport News HD DE	00`b002477/index.m3u8
Sky Sport UHD DE	00`b0019044/index.m3u8
Spiegel Geschichte	00`b0031392/index.m3u8
Spiegel Geschichte HD DE	00`b002566/index.m3u8
Spiegel Geschichte HD DE	00`b006091/index.m3u8
